Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Name
Bachelors,2014,Bangalore,3,28,Female,No,3,0,Radhika Saxena
Bachelors,2013,Bangalore,3,26,Female,No,4,0,Arjun Sharma
Masters,2017,New Delhi,3,24,Female,No,2,1,Aarav Verma
Bachelors,2016,Bangalore,3,25,Male,No,3,1,Anjali Yadav
Bachelors,2015,Bangalore,3,25,Male,No,3,0,Anjali Mishra
Bachelors,2014,Bangalore,3,27,Male,No,5,0,Sai Ghosh
Bachelors,2012,Bangalore,3,24,Male,No,2,0,Shweta Sinha
Bachelors,2014,Bangalore,3,25,Male,No,3,0,Kavya Iyer
Bachelors,2015,Bangalore,3,28,Male,No,3,0,Anand Thakur
Masters,2015,New Delhi,3,26,Male,No,4,1,Tanvi Jain
Bachelors,2014,New Delhi,3,28,Female,No,1,0,Vivek Verma
Bachelors,2015,Pune,3,25,Male,No,3,0,Vivek Reddy
Masters,2015,Pune,2,28,Female,No,2,0,Vihaan Patel
Bachelors,2014,Bangalore,3,27,Female,No,5,0,Riya Verma
Bachelors,2013,Bangalore,3,26,Male,No,4,0,Krishna Malhotra
Bachelors,2016,Bangalore,3,26,Male,No,4,0,Rohan Chopra
Bachelors,2012,Bangalore,3,25,Male,No,3,0,Siddharth Yadav
Bachelors,2015,Bangalore,3,25,Male,No,3,0,Aditya Shetty
Bachelors,2014,New Delhi,3,24,Female,No,2,0,Priya Pillai
Bachelors,2012,Bangalore,3,27,Male,No,5,1,Manoj Iyer
Masters,2017,New Delhi,3,27,Male,No,5,1,Sunil Verma
Bachelors,2015,Pune,3,27,Male,No,5,0,Nikhil Gupta
Bachelors,2018,Bangalore,3,24,Male,No,2,1,Gaurav Chopra
Masters,2017,New Delhi,3,27,Male,No,5,1,Rohan Malhotra
Masters,2017,New Delhi,2,28,Female,No,1,1,Ishaan Das
Masters,2017,Pune,2,24,Male,No,2,1,Vihaan Jain
Masters,2016,New Delhi,3,25,Female,No,3,1,Reyansh Thakur
PHD,2015,New Delhi,3,28,Female,No,1,0,Neha Pillai
Bachelors,2017,New Delhi,2,26,Male,No,4,0,Shweta Chatterjee
Bachelors,2013,Bangalore,2,27,Male,No,5,0,Divya Iyer
Bachelors,2015,Bangalore,3,26,Male,No,4,0,Aditya Chatterjee
Bachelors,2015,Bangalore,3,26,Male,No,4,0,Swati Gupta
Bachelors,2013,Bangalore,3,28,Male,No,1,0,Neha Banerjee
Bachelors,2015,Bangalore,3,27,Female,No,5,0,Om Sinha
Bachelors,2013,New Delhi,3,25,Female,No,3,0,Vihaan Mehta
Bachelors,2013,Pune,3,28,Male,No,1,0,Om Agarwal
Bachelors,2017,Pune,3,24,Male,No,2,0,Anil Reddy
Bachelors,2013,New Delhi,3,27,Female,No,5,0,Ritika Shetty
Bachelors,2015,Bangalore,3,28,Male,Yes,2,0,Ananya Kumar
Bachelors,2015,Pune,3,28,Male,No,3,0,Sunil Jain
Bachelors,2014,Pune,2,25,Female,No,3,1,Radhika Mishra
Bachelors,2014,Bangalore,3,25,Male,No,3,0,Shiv Mehta
Bachelors,2017,Bangalore,3,27,Male,No,5,0,Vivek Nair
Bachelors,2014,Pune,2,26,Female,No,4,1,Sanjana Jain
PHD,2013,New Delhi,3,24,Male,No,2,0,Ananya Thakur
Bachelors,2015,Pune,2,26,Female,No,4,1,Siddharth Patel
Bachelors,2017,Bangalore,3,25,Male,No,3,0,Vihaan Chatterjee
Masters,2013,Pune,2,27,Male,No,5,1,Aishwarya Sharma
Masters,2017,Bangalore,3,28,Male,No,2,0,Suresh Nair
Bachelors,2012,Bangalore,3,25,Male,No,3,1,Vivaan Verma
Bachelors,2017,Bangalore,3,27,Male,No,5,0,Anjali Jain
Masters,2017,Pune,2,27,Female,No,5,0,Karan Kumar
Masters,2013,Bangalore,2,28,Female,No,2,1,Nidhi Das
Masters,2017,Pune,3,28,Male,No,1,1,Swati Nair
Bachelors,2018,Bangalore,3,27,Female,No,5,1,Meera Rao
Bachelors,2014,New Delhi,3,25,Female,No,3,0,Radhika Gupta
Masters,2017,New Delhi,3,27,Male,No,5,1,Meera Ghosh
Masters,2013,New Delhi,3,26,Male,No,4,1,Amit Khan
Bachelors,2013,Pune,2,25,Female,No,3,1,Aarav Iyer
Masters,2012,New Delhi,3,26,Male,No,4,1,Kriti Khan
Bachelors,2016,Bangalore,3,25,Male,No,3,1,Shweta Patel
Bachelors,2013,Pune,2,26,Male,No,4,0,Aditya Sinha
Bachelors,2018,Bangalore,3,28,Female,No,2,1,Sanjana Sinha
Bachelors,2013,Bangalore,3,27,Male,No,5,0,Anjali Pillai
Bachelors,2015,Pune,1,24,Female,Yes,2,1,Ishaan Sinha
Bachelors,2013,Pune,3,28,Male,No,2,0,Anil Jain
Bachelors,2015,Pune,2,27,Female,Yes,5,1,Ananya Singh
Bachelors,2018,Bangalore,3,25,Male,No,3,1,Om Iyer
Bachelors,2014,Pune,2,27,Female,No,5,1,Anand Sharma
Bachelors,2013,Pune,3,24,Male,No,2,0,Nidhi Gupta
Bachelors,2014,Pune,3,24,Male,No,2,0,Nidhi Thakur
PHD,2015,New Delhi,2,25,Female,No,3,0,Raj Jain
Bachelors,2014,Bangalore,3,26,Male,Yes,4,0,Rahul Chatterjee
Bachelors,2018,Bangalore,3,24,Male,No,2,1,Deepak Jain
Masters,2015,Pune,2,25,Female,No,3,0,Siddharth Joshi
Bachelors,2015,Bangalore,3,24,Male,No,2,0,Anand Jain
Bachelors,2014,New Delhi,3,24,Female,No,2,0,Pallavi Patel
Masters,2017,Bangalore,2,26,Female,No,4,1,Deepak Mehta
Bachelors,2012,New Delhi,3,28,Male,No,1,0,Reyansh Shetty
Masters,2017,Pune,2,26,Female,No,4,0,Priya Bhattacharya
Bachelors,2016,Pune,3,25,Male,No,3,0,Om Khan
Bachelors,2017,New Delhi,3,24,Male,No,2,1,Pallavi Chatterjee
Bachelors,2013,Pune,2,28,Female,No,3,1,Abhishek Gupta
Bachelors,2014,Bangalore,3,25,Female,No,3,1,Shweta Jain
Bachelors,2014,Bangalore,3,25,Male,No,3,0,Amit Shetty
Bachelors,2014,Pune,2,24,Female,No,2,1,Vikas Singh
Bachelors,2015,Bangalore,3,28,Male,No,2,1,Aditya Desai
Bachelors,2015,Bangalore,3,27,Male,No,5,0,Pallavi Malhotra
Bachelors,2016,Pune,3,26,Male,No,4,0,Pooja Chopra
Masters,2015,New Delhi,3,26,Female,No,4,1,Anil Gupta
Bachelors,2016,Bangalore,1,28,Female,No,2,0,Deepak Patel
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,Sneha Malhotra
Bachelors,2014,Bangalore,3,27,Male,No,5,0,Krishna Mishra
Bachelors,2017,Bangalore,3,28,Male,No,2,0,Rajesh Gupta
Masters,2018,New Delhi,3,24,Female,Yes,2,1,Meera Chatterjee
Bachelors,2017,Pune,2,25,Male,No,3,0,Ayaan Verma
Bachelors,2018,Pune,2,24,Female,No,2,1,Deepak Thakur
Masters,2017,New Delhi,2,28,Female,No,1,0,Deepak Agarwal
Bachelors,2013,New Delhi,1,27,Female,No,5,0,Abhishek Banerjee
Bachelors,2017,New Delhi,2,27,Female,No,5,0,Karan Rao
Bachelors,2017,Bangalore,3,28,Male,No,1,0,Nikhil Iyer
Bachelors,2016,Pune,2,27,Female,No,5,1,Shiv Singh
Masters,2018,Bangalore,3,24,Male,No,2,1,Aishwarya Patel
Bachelors,2012,Pune,1,26,Male,No,4,0,Vikas Joshi
Bachelors,2016,Bangalore,3,26,Male,No,4,0,Anil Mehta
Masters,2016,New Delhi,1,27,Male,No,5,0,Kavya Shetty
Bachelors,2015,New Delhi,3,26,Female,No,4,0,Sneha Iyer
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0,Ayaan Chopra
Bachelors,2013,Bangalore,3,24,Male,Yes,2,1,Shweta Iyer
Bachelors,2018,Bangalore,3,26,Female,No,4,1,Aditya Patel
Masters,2017,Pune,2,26,Female,No,4,1,Divya Sinha
Masters,2017,New Delhi,2,28,Female,No,2,0,Aditya Verma
Bachelors,2013,Pune,3,28,Male,No,1,0,Rohan Shetty
Masters,2013,New Delhi,3,25,Male,No,3,0,Sanjana Shetty
Bachelors,2018,Bangalore,3,28,Female,Yes,1,1,Vihaan Chopra
Bachelors,2013,Pune,3,27,Female,No,5,1,Aishwarya Agarwal
Bachelors,2012,Bangalore,3,25,Male,No,3,0,Neha Khan
Bachelors,2014,Bangalore,3,28,Male,No,1,0,Anil Das
Bachelors,2017,New Delhi,3,28,Female,No,3,0,Manoj Saxena
Masters,2017,New Delhi,2,28,Male,Yes,2,0,Pooja Singh
Bachelors,2014,Bangalore,3,25,Male,No,3,0,Ritika Mehta
Masters,2017,New Delhi,3,26,Male,No,4,0,Abhishek Agarwal
Bachelors,2015,Pune,1,25,Female,No,3,1,Karan Desai
Masters,2013,New Delhi,3,27,Male,No,5,0,Aishwarya Desai
PHD,2014,Bangalore,3,24,Female,No,2,0,Arjun Chopra
Masters,2017,New Delhi,2,27,Female,No,5,0,Aishwarya Jain
Bachelors,2018,Bangalore,3,26,Male,No,4,1,Manoj Reddy
Bachelors,2012,Bangalore,3,26,Male,No,4,0,Rahul Sharma
Masters,2015,Pune,3,27,Female,No,5,1,Deepak Khan
Bachelors,2018,Bangalore,3,26,Male,No,4,1,Sanjana Pillai
Bachelors,2016,Bangalore,3,24,Male,No,2,0,Nidhi Desai
Masters,2017,New Delhi,2,25,Female,No,3,0,Pallavi Saxena
Bachelors,2017,New Delhi,2,28,Male,No,1,0,Manoj Desai
Bachelors,2012,New Delhi,3,27,Female,No,5,0,Vikas Verma
Masters,2013,New Delhi,3,26,Male,No,4,1,Sai Yadav
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,Rajesh Chatterjee
Bachelors,2014,Pune,3,28,Male,No,2,0,Nidhi Bhattacharya
Bachelors,2016,Bangalore,3,24,Female,No,2,1,Anil Saxena
Bachelors,2012,Bangalore,3,28,Male,No,3,0,Anil Agarwal
Bachelors,2012,Bangalore,3,27,Male,No,5,0,Nidhi Banerjee
Bachelors,2013,Bangalore,3,26,Male,No,4,0,Anand Iyer
Bachelors,2014,New Delhi,3,28,Female,No,1,0,Pallavi Verma
Bachelors,2014,New Delhi,3,27,Female,Yes,5,0,Deepak Desai
Bachelors,2015,Pune,3,26,Female,Yes,4,1,Arjun Patel
Masters,2014,New Delhi,3,26,Male,No,4,1,Tanvi Desai
PHD,2015,New Delhi,3,25,Female,No,3,0,Vikas Reddy
Masters,2015,New Delhi,3,25,Male,No,3,0,Nidhi Chatterjee
Bachelors,2012,Pune,3,27,Male,No,5,0,Ishaan Chopra
Masters,2017,New Delhi,2,24,Female,No,2,0,Rajesh Kumar
Bachelors,2016,Bangalore,3,24,Male,No,2,0,Ananya Desai
Masters,2015,Pune,3,28,Female,No,2,0,Kriti Banerjee
Bachelors,2017,Bangalore,3,24,Female,No,2,0,Karan Chatterjee
Bachelors,2017,Pune,3,25,Male,No,3,0,Shweta Verma
Bachelors,2017,Bangalore,1,25,Male,No,3,0,Kavya Reddy
Masters,2015,Pune,3,28,Female,No,2,0,Shiv Das
Bachelors,2017,Pune,3,26,Male,No,4,0,Rahul Ghosh
Bachelors,2014,Pune,3,24,Male,No,2,0,Vikas Das
Bachelors,2014,Pune,3,25,Female,No,3,1,Vihaan Verma
Bachelors,2018,Pune,3,26,Female,No,4,1,Arjun Nair
Bachelors,2016,Bangalore,3,27,Male,No,5,0,Raj Yadav
Bachelors,2017,Bangalore,3,28,Female,No,2,0,Aditya Malhotra
Bachelors,2012,Pune,3,28,Male,No,2,0,Vivaan Joshi
Masters,2012,New Delhi,3,24,Female,No,2,1,Sanjana Iyer
Bachelors,2013,Bangalore,3,26,Male,No,4,0,Riya Joshi
Bachelors,2015,New Delhi,3,26,Female,Yes,4,0,Nidhi Mishra
Bachelors,2017,Bangalore,3,28,Male,No,1,0,Ishaan Nair
Bachelors,2018,Pune,3,25,Male,Yes,3,1,Om Mishra
Masters,2017,New Delhi,3,24,Male,No,2,0,Manoj Kumar
Bachelors,2013,Bangalore,3,28,Male,No,2,1,Rajesh Rao
Bachelors,2017,Bangalore,3,24,Male,No,2,0,Vivaan Thakur
Masters,2017,New Delhi,2,25,Female,No,3,1,Shiv Gupta
Bachelors,2013,Pune,2,28,Female,No,1,1,Suresh Thakur
Bachelors,2015,Bangalore,3,24,Female,No,2,0,Sunil Chopra
Bachelors,2016,Pune,3,26,Male,No,4,0,Ritika Pillai
Bachelors,2015,New Delhi,2,27,Female,No,5,1,Arjun Agarwal
Bachelors,2018,Bangalore,3,24,Female,No,2,1,Ananya Shetty
Bachelors,2013,Bangalore,3,27,Female,No,5,0,Deepak Reddy
Bachelors,2013,Bangalore,3,24,Male,Yes,2,0,Anjali Iyer
Bachelors,2013,Bangalore,3,24,Female,No,2,0,Deepak Pillai
Bachelors,2013,Bangalore,3,27,Male,No,5,0,Anand Nair
Bachelors,2017,Bangalore,3,26,Female,No,4,0,Meera Bhattacharya
Bachelors,2015,Bangalore,3,24,Female,No,2,0,Ayaan Reddy
Bachelors,2012,Pune,3,24,Female,No,2,1,Neha Chatterjee
Bachelors,2016,Bangalore,3,24,Male,Yes,2,1,Radhika Bhattacharya
Bachelors,2012,Bangalore,3,28,Male,No,3,0,Sai Pillai
Bachelors,2017,New Delhi,2,27,Male,No,5,0,Kriti Mehta
Bachelors,2012,Pune,2,27,Female,No,5,1,Kriti Jain
Masters,2017,Pune,2,27,Male,No,5,0,Priya Sinha
Bachelors,2017,Pune,2,24,Male,No,2,1,Amit Agarwal
Bachelors,2016,Pune,1,26,Female,No,4,1,Gaurav Shetty
Bachelors,2015,Pune,3,26,Female,No,4,1,Radhika Das
Bachelors,2016,Bangalore,3,25,Male,No,3,1,Priya Das
Bachelors,2012,Pune,3,26,Male,No,4,0,Riya Pillai
Bachelors,2017,Bangalore,3,28,Male,No,2,0,Raj Joshi
Bachelors,2012,Bangalore,3,25,Male,No,3,0,Vivaan Chatterjee
Bachelors,2017,Bangalore,3,25,Female,Yes,3,0,Vihaan Agarwal
Masters,2017,Pune,2,26,Male,No,4,0,Reyansh Kumar
Masters,2017,Pune,3,28,Male,No,1,1,Priya Mehta
Masters,2015,Pune,2,25,Female,No,3,1,Nidhi Singh
Bachelors,2017,New Delhi,2,26,Female,No,4,0,Nikhil Chatterjee
Bachelors,2017,New Delhi,2,26,Male,No,4,0,Arjun Das
Bachelors,2016,Bangalore,3,27,Male,No,5,0,Suresh Mishra
Bachelors,2017,New Delhi,3,27,Female,No,5,0,Kriti Bhattacharya
Bachelors,2015,New Delhi,3,24,Female,No,2,0,Aditya Gupta
Masters,2017,Bangalore,1,26,Female,No,4,1,Pooja Chatterjee
Bachelors,2017,New Delhi,1,28,Female,No,2,0,Rajesh Patel
Bachelors,2015,Bangalore,3,24,Male,No,2,0,Neha Sharma
Masters,2015,Pune,2,25,Female,No,3,1,Aditya Saxena
Bachelors,2014,Bangalore,3,25,Female,No,3,0,Sai Chatterjee
Bachelors,2014,Bangalore,3,28,Male,No,2,0,Ananya Pillai
Bachelors,2017,Bangalore,3,28,Male,No,3,0,Sneha Das
Masters,2015,New Delhi,1,27,Male,No,5,0,Suresh Khan
Bachelors,2014,Pune,1,26,Female,No,4,1,Shiv Khan
Masters,2018,Bangalore,3,25,Male,Yes,3,1,Shweta Agarwal
Bachelors,2016,Bangalore,3,28,Female,No,3,0,Vivaan Nair
Bachelors,2018,New Delhi,3,26,Female,Yes,4,1,Om Verma
Bachelors,2015,Pune,2,24,Female,No,2,1,Karan Agarwal
Bachelors,2017,Bangalore,3,27,Male,Yes,5,0,Nidhi Sharma
Bachelors,2014,Bangalore,3,26,Male,No,4,0,Tanvi Saxena
Bachelors,2014,Bangalore,3,24,Male,No,2,0,Divya Agarwal
Bachelors,2016,Bangalore,3,28,Male,No,2,0,Rahul Bhattacharya
Bachelors,2015,Pune,2,25,Female,No,3,1,Abhishek Desai
Bachelors,2013,Pune,3,27,Male,No,5,0,Siddharth Malhotra
Bachelors,2015,Bangalore,3,28,Male,No,3,0,Ritika Das
